,qLegalStatus,age
0,DPW Maintained,20.687263869500992
1,Landmark tree,34.80153596583092
2,Permitted Site,21.740820377463933
3,Planning Code 138.1 required,5.654512529847779
4,Private,5.681157039501152
5,Prune Opt Out,23.310540257500154
6,Section 143,8.079563577623086
7,Section 806 (d),4.194684142937701
8,Significant Tree,9.054258472110995
9,Undocumented,12.917877560078146
