,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Scientific_Name,Common_Name
6,133773,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2460 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,,16,Width 4ft,37.79246726,-122.4395335,Platanus x hispanica ,Sycamore: London Plane
8,209974,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,634 Miramar Ave,1.0,Sidewalk: Curb side : Cutout,Private,,6,Width 3ft,37.72831263,-122.4581057,Metrosideros excelsa ,New Zealand Xmas Tree
13,29149,DPW Maintained,Lophostemon confertus :: Brisbane Box,301X Jones St,1.0,Sidewalk: Curb side : Cutout,DPW,6/13/15 0:00,3,3x3,37.7839498,-122.4126863,Lophostemon confertus ,Brisbane Box
15,134799,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1070 Lombard St,3.0,Sidewalk: Curb side : Yard,Private,,9,,37.80213141,-122.4191471,Platanus x hispanica ,Sycamore: London Plane
19,177625,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,600 Italy Ave,2.0,Sidewalk: Curb side : Cutout,Private,,8,Width 2ft,37.71603005,-122.4345534,Metrosideros excelsa ,New Zealand Xmas Tree
22,123907,DPW Maintained,Pittosporum undulatum :: Victorian Box,151 10th Ave,1.0,Sidewalk: Curb side : Cutout,Private,,17,Width 4ft,37.78551,-122.4689918,Pittosporum undulatum ,Victorian Box
26,246246,DPW Maintained,Pittosporum undulatum :: Victorian Box,90 Frederick St,1.0,Sidewalk: Curb side : Cutout,Private,,11,Width 0ft,37.76753847,-122.4443178,Pittosporum undulatum ,Victorian Box
30,21565,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1458 Sutter St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,4X4,37.78729185,-122.4243405,Platanus x hispanica ,Sycamore: London Plane
33,19262,DPW Maintained,Pittosporum undulatum :: Victorian Box,1335 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,,18,4X4,37.78219531,-122.4376084,Pittosporum undulatum ,Victorian Box
34,4221,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3969 Cesar Chavez St,1.0,Sidewalk: Curb side : Cutout,DPW,,18,3X3,37.7475408,-122.4285472,Platanus x hispanica ,Sycamore: London Plane
35,3015,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2451X California St,1.0,Sidewalk: Curb side : Cutout,DPW,,25,2X2,37.78873184,-122.4346644,Platanus x hispanica ,Sycamore: London Plane
36,183551,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1200 Vicente St,1.0,Sidewalk: Curb side : Cutout,Private,,16,Width 0ft,37.73920093,-122.4798918,Metrosideros excelsa ,New Zealand Xmas Tree
38,201010,DPW Maintained,Lophostemon confertus :: Brisbane Box,2290 03rd St,1.0,Sidewalk: Curb side : Cutout,Private,,2,Width 2ft,37.76098758,-122.3887564,Lophostemon confertus ,Brisbane Box
39,235173,DPW Maintained,Pittosporum undulatum :: Victorian Box,4044 22nd St,1.0,Sidewalk: Curb side : Cutout,Private,,20,Width 3ft,37.75437628,-122.4373414,Pittosporum undulatum ,Victorian Box
67,14053,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1355 Market St,9.0,Sidewalk: Curb side : Cutout,DPW,,3,4X4,37.77713184,-122.4165543,Platanus x hispanica ,Sycamore: London Plane
86,182517,DPW Maintained,Pittosporum undulatum :: Victorian Box,1610 Lawton St,2.0,Sidewalk: Curb side : Cutout,Private,,14,Width 0ft,37.75789278,-122.4801738,Pittosporum undulatum ,Victorian Box
87,195389,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,190x Beale St,4.0,Sidewalk: Curb side : Cutout,Private,,8,Width 4ft,37.79001781,-122.3945589,Platanus x hispanica ,Sycamore: London Plane
95,229157,DPW Maintained,Lophostemon confertus :: Brisbane Box,3195 26th St,1.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.74925584,-122.4135009,Lophostemon confertus ,Brisbane Box
97,5922,Permitted Site,Lophostemon confertus :: Brisbane Box,1300X Eddy St,5.0,Sidewalk: Curb side : Cutout,Private,5/7/92 0:00,12,4X4,37.78206203,-122.4296075,Lophostemon confertus ,Brisbane Box
106,244463,DPW Maintained,Pittosporum undulatum :: Victorian Box,406 Steiner St,3.0,Sidewalk: Curb side : Cutout,Private,,6,Width 0ft,37.77309617,-122.4322512,Pittosporum undulatum ,Victorian Box
107,115134,Permitted Site,Lophostemon confertus :: Brisbane Box,499X MAIN ST,12.0,Sidewalk: Curb side : Cutout,Private,,10,,37.78724942,-122.3889664,Lophostemon confertus ,Brisbane Box
110,67486,DPW Maintained,Pittosporum undulatum :: Victorian Box,617 Wisconsin St,1.0,Sidewalk: Curb side : Cutout,Private,9/8/92 0:00,6,,37.75926202,-122.3990347,Pittosporum undulatum ,Victorian Box
112,15201,DPW Maintained,Lophostemon confertus :: Brisbane Box,1120 Mission St,4.0,Sidewalk: Curb side : Cutout,DPW,4/12/95 0:00,6,3X3,37.77888219,-122.4114764,Lophostemon confertus ,Brisbane Box
116,250909,DPW Maintained,Pittosporum undulatum :: Victorian Box,283 29th Ave,1.0,Sidewalk: Curb side : Yard,Private,,13,Width 4ft,37.78402696,-122.4893957,Pittosporum undulatum ,Victorian Box
120,1509,DPW Maintained,Pittosporum undulatum :: Victorian Box,364 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,10/15/96 0:00,9,3X3,37.78454089,-122.4587286,Pittosporum undulatum ,Victorian Box
123,202410,DPW Maintained,Lophostemon confertus :: Brisbane Box,300 Beale St,3.0,Sidewalk: Curb side : Cutout,Private,,13,Width 3ft,37.78838258,-122.3925036,Lophostemon confertus ,Brisbane Box
124,22038,DPW Maintained,Lophostemon confertus :: Brisbane Box,2895 03rd St,6.0,Sidewalk: Curb side : Cutout,DPW,2/14/95 0:00,3,3X3,37.75340073,-122.3876708,Lophostemon confertus ,Brisbane Box
132,95145,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3738 Geary Blvd,1.0,Sidewalk: Curb side : Cutout,Private,,4,3x3,37.78137546,-122.4596769,Metrosideros excelsa ,New Zealand Xmas Tree
133,57164,DPW Maintained,Pittosporum undulatum :: Victorian Box,2989 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,10/26/74 0:00,15,,37.79116984,-122.4443019,Pittosporum undulatum ,Victorian Box
135,10479,DPW Maintained,Lophostemon confertus :: Brisbane Box,1654 Haight St,1.0,Sidewalk: Curb side : Cutout,DPW,12/2/07 0:00,12,3X3,37.769751,-122.4494797,Lophostemon confertus ,Brisbane Box
145,1562,DPW Maintained,Pittosporum undulatum :: Victorian Box,561 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,Private,,30,3X3,37.78004905,-122.4588994,Pittosporum undulatum ,Victorian Box
153,13911,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1067 Market St,2.0,Sidewalk: Curb side : Cutout,DPW,,30,4X4,37.78097423,-122.4116357,Platanus x hispanica ,Sycamore: London Plane
155,129971,DPW Maintained,Lophostemon confertus :: Brisbane Box,245 Taylor St,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 4ft,37.78486671,-122.4111954,Lophostemon confertus ,Brisbane Box
180,26766,DPW Maintained,Lophostemon confertus :: Brisbane Box,1661 Pine St,13.0,Sidewalk: Curb side : Cutout,Private,,8,3X3,37.78926544,-122.422703,Lophostemon confertus ,Brisbane Box
188,141185,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1953 O'Farrell St,2.0,Sidewalk: Curb side : Cutout,Private,,13,Width 0ft,37.78268237,-122.4368343,Metrosideros excelsa ,New Zealand Xmas Tree
190,202002,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,200 Paul Ave,5.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.72303938,-122.3981014,Platanus x hispanica ,Sycamore: London Plane
192,37189,DPW Maintained,Pittosporum undulatum :: Victorian Box,1486 30th Ave,1.0,Sidewalk: Curb side : Cutout,Private,4/12/01 0:00,5,,37.75957389,-122.488576,Pittosporum undulatum ,Victorian Box
195,133580,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3421 Pacific Ave,2.0,Sidewalk: Curb side : Cutout,Private,,8,Width 2ft,37.791052,-122.451467,Platanus x hispanica ,Sycamore: London Plane
204,120030,DPW Maintained,Pittosporum undulatum :: Victorian Box,5250 Fulton St,5.0,Sidewalk: Property side : Yard,Private,,9,Width 6ft,37.77248638,-122.4882967,Pittosporum undulatum ,Victorian Box
208,113643,Planning Code 138.1 required,Lophostemon confertus :: Brisbane Box,1400 MISSION ST,5.0,Sidewalk: Curb side : Cutout,Private,2/9/16 0:00,3,4x6,37.77527096,-122.4159838,Lophostemon confertus ,Brisbane Box
209,250424,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,66 Seacliff Ave,1.0,Sidewalk: Curb side : Yard,Private,,16,Width 4ft,37.78895714,-122.4859748,Metrosideros excelsa ,New Zealand Xmas Tree
214,5026,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5320 Diamond Heights Blvd,10.0,Sidewalk: Curb side : Cutout,Private,1/6/92 0:00,3,2X2,37.74277322,-122.436671,Metrosideros excelsa ,New Zealand Xmas Tree
218,184542,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,1701 40th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2/13/18 0:00,3,3x3,37.75497106,-122.4991718,Metrosideros excelsa ,New Zealand Xmas Tree
226,24492,Permitted Site,Lophostemon confertus :: Brisbane Box,495X Fell St,6.0,Sidewalk: Curb side : Cutout,Private,6/24/95 0:00,6,3X3,37.77560902,-122.4249888,Lophostemon confertus ,Brisbane Box
227,177596,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2969 Alemany Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,1/30/18 0:00,17,Width 2ft,37.71136852,-122.4526619,Metrosideros excelsa ,New Zealand Xmas Tree
230,234164,DPW Maintained,Pittosporum undulatum :: Victorian Box,1800 Alabama St,1.0,Sidewalk: Curb side : Yard,Private,,3,Width 3ft,37.74422314,-122.4104706,Pittosporum undulatum ,Victorian Box
233,119551,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,601 30th Ave,29.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.77738951,-122.4899942,Metrosideros excelsa ,New Zealand Xmas Tree
234,131545,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1338 Clay St,2.0,Sidewalk: Curb side : Cutout,Private,,11,Width 3ft,37.79324076,-122.4147408,Metrosideros excelsa ,New Zealand Xmas Tree
237,49525,DPW Maintained,Lophostemon confertus :: Brisbane Box,575@ DIVISION 10th St,4.0,Sidewalk: Curb side : Cutout,Private,4/23/03 0:00,7,,37.76969642,-122.4087483,Lophostemon confertus ,Brisbane Box
251,111250,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3121x Vicente St,1.0,Sidewalk: Curb side : Cutout,Private,,6,3x3,37.73810025,-122.5004466,Metrosideros excelsa ,New Zealand Xmas Tree
261,135590,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,150x Drumm St,2.0,Median : Yard,DPW,,8,Width 7ft,37.79493038,-122.39666,Platanus x hispanica ,Sycamore: London Plane
263,13795,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,929 Market St,4.0,Sidewalk: Curb side : Cutout,DPW,9/12/93 0:00,30,3X3,37.78339759,-122.4085601,Platanus x hispanica ,Sycamore: London Plane
264,30362,DPW Maintained,Pittosporum undulatum :: Victorian Box,606 Arkansas St,1.0,Sidewalk: Curb side : Cutout,Private,3/2/56 0:00,11,,37.75852471,-122.3981897,Pittosporum undulatum ,Victorian Box
268,134345,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1028 Market St,4.0,Sidewalk: Curb side : Cutout,Private,,13,Width 4ft,37.7817173,-122.4110952,Platanus x hispanica ,Sycamore: London Plane
276,23622,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,101X Vicente St,2.0,Sidewalk: Curb side : Cutout,DPW,,16,3X3,37.73976858,-122.4672855,Platanus x hispanica ,Sycamore: London Plane
279,10545,DPW Maintained,Lophostemon confertus :: Brisbane Box,165 Harbor Rd,2.0,Sidewalk: Curb side : Cutout,DPW,2/12/92 0:00,12,3X4,37.732451,-122.3785079,Lophostemon confertus ,Brisbane Box
283,135285,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1000 The Embarcadero,3.0,Sidewalk: Curb side : Cutout,Private,,9,Width 4ft,37.80054971,-122.3990875,Platanus x hispanica ,Sycamore: London Plane
291,23044,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1000 Valencia St,3.0,Sidewalk: Curb side : Cutout,DPW,2/1/95 0:00,18,3x3,37.75668817,-122.4212589,Metrosideros excelsa ,New Zealand Xmas Tree
299,135043,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,252 Broadway,3.0,Sidewalk: Curb side : Cutout,Private,,6,Width 4ft,37.79852701,-122.4020756,Platanus x hispanica ,Sycamore: London Plane
303,238725,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,150 Appleton Ave,1.0,Sidewalk: Curb side : Yard,Private,,6,Width 3ft,37.73801158,-122.4220442,Platanus x hispanica ,Sycamore: London Plane
314,138948,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,738 HAYES ST,1.0,Sidewalk: Curb side : Cutout,Private,8/7/08 0:00,4,Width 0ft,37.7762322,-122.4286181,Platanus x hispanica ,Sycamore: London Plane
315,44181,DPW Maintained,Pittosporum undulatum :: Victorian Box,3731 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,12/15/00 0:00,8,,37.80435416,-122.4421061,Pittosporum undulatum ,Victorian Box
316,97063,DPW Maintained,Lophostemon confertus :: Brisbane Box,1599X Newcomb Ave,4.0,Sidewalk: Curb side : Cutout,SFUSD,,10,3x3,37.7351486,-122.3897551,Lophostemon confertus ,Brisbane Box
319,2566,DPW Maintained,Pittosporum undulatum :: Victorian Box,1600 Bush St,1.0,Sidewalk: Curb side : Cutout,DPW,,11,4X4,37.78832822,-122.423765,Pittosporum undulatum ,Victorian Box
321,140873,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,66 Wood St,4.0,Sidewalk: Curb side : Cutout,Private,,5,Width 0ft,37.78272848,-122.4491116,Metrosideros excelsa ,New Zealand Xmas Tree
324,27059,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,801 Silver Ave,1.0,Sidewalk: Curb side : Cutout,DPW,,12,4x15,37.72893955,-122.4174397,Metrosideros excelsa ,New Zealand Xmas Tree
325,133578,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,250 Laurel St,6.0,Sidewalk: Curb side : Cutout,Private,,1,Width 3ft,37.78892983,-122.4504677,Platanus x hispanica ,Sycamore: London Plane
329,43773,DPW Maintained,Pittosporum undulatum :: Victorian Box,103 19th Ave,5.0,Sidewalk: Curb side : Cutout,Private,7/26/00 0:00,6,,37.78567623,-122.478781,Pittosporum undulatum ,Victorian Box
331,102923,DPW Maintained,Pittosporum undulatum :: Victorian Box,1461 Pine St,1.0,Sidewalk: Curb side : Cutout,Private,3/12/13 0:00,1,3x3,37.78962626,-122.4198788,Pittosporum undulatum ,Victorian Box
333,231293,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3820 25th St,3.0,Sidewalk: Curb side : Cutout,Private,,13,Width 2ft,37.75026409,-122.425502,Metrosideros excelsa ,New Zealand Xmas Tree
345,234060,DPW Maintained,Pittosporum undulatum :: Victorian Box,1400 Utah St,1.0,Sidewalk: Curb side : Cutout,Private,,14,Width 4ft,37.75162404,-122.4053058,Pittosporum undulatum ,Victorian Box
351,95337,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,855@Broadway Battery St,2.0,Sidewalk: Curb side : Cutout,Private,8/17/11 0:00,4,3x3,37.79909187,-122.4012351,Platanus x hispanica ,Sycamore: London Plane
352,105802,DPW Maintained,Pittosporum undulatum :: Victorian Box,2550 Fulton St,3.0,Sidewalk: Curb side : Cutout,Private,,20,6x9,37.77431738,-122.4592428,Pittosporum undulatum ,Victorian Box
358,95966,DPW Maintained,Pittosporum undulatum :: Victorian Box,5500 Geary Blvd,1.0,Median :,DPW,3/12/11 0:00,2,,37.7805919,-122.4785275,Pittosporum undulatum ,Victorian Box
361,200897,DPW Maintained,Lophostemon confertus :: Brisbane Box,4251 03rd St,4.0,Sidewalk: Curb side : Cutout,Private,,5,Width 0ft,37.73902624,-122.3890718,Lophostemon confertus ,Brisbane Box
366,76145,DPW Maintained,Lophostemon confertus :: Brisbane Box,2999X Polk St,3.0,Sidewalk: Curb side : Cutout,SFUSD,11/16/96 0:00,6,4x4,37.8033776,-122.4241268,Lophostemon confertus ,Brisbane Box
369,106083,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3444 Washington St,2.0,Sidewalk: Curb side : Cutout,Private,,21,,37.78966188,-122.4500681,Platanus x hispanica ,Sycamore: London Plane
373,172200,DPW Maintained,Lophostemon confertus :: Brisbane Box,399 Naples St,2.0,Sidewalk: Curb side : Cutout,Private,,0,Width 3ft,37.72253016,-122.4298478,Lophostemon confertus ,Brisbane Box
375,130222,DPW Maintained,Lophostemon confertus :: Brisbane Box,1661 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,,4,Width 3ft,37.79391181,-122.4227343,Lophostemon confertus ,Brisbane Box
378,18719,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,65X Roosevelt Way,7.0,Sidewalk: Curb side : Cutout,DPW,,12,3x3,37.76672106,-122.4372839,Metrosideros excelsa ,New Zealand Xmas Tree
379,6085,Permitted Site,Pittosporum undulatum :: Victorian Box,1050X Broderick St,1.0,Sidewalk: Curb side : Cutout,Private,,6,4x4,37.77992553,-122.4404095,Pittosporum undulatum ,Victorian Box
380,229042,DPW Maintained,Lophostemon confertus :: Brisbane Box,567 29th St,1.0,Sidewalk: Curb side : Cutout,Private,,15,Width 3ft,37.74327272,-122.4325953,Lophostemon confertus ,Brisbane Box
385,235285,DPW Maintained,Pittosporum undulatum :: Victorian Box,84 Seward St,2.0,Sidewalk: Property side : Yard,Private,,4,Width 3ft,37.75867831,-122.4404787,Pittosporum undulatum ,Victorian Box
387,133310,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2590 Green St,1.0,Sidewalk: Curb side : Cutout,Private,,8,Width 3ft,37.79542181,-122.4416082,Platanus x hispanica ,Sycamore: London Plane
390,200487,DPW Maintained,Lophostemon confertus :: Brisbane Box,2701 03rd St,5.0,Sidewalk: Curb side : Cutout,Private,,3,Width 3ft,37.75513733,-122.3878246,Lophostemon confertus ,Brisbane Box
401,232598,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,62 Worth St,3.0,Sidewalk: Curb side : Yard,Private,,7,Width 4ft,37.7543975,-122.4399468,Metrosideros excelsa ,New Zealand Xmas Tree
402,229002,DPW Maintained,Lophostemon confertus :: Brisbane Box,3505 19th St,2.0,Sidewalk: Curb side : Cutout,Private,,1,Width 3ft,37.76002023,-122.421844,Lophostemon confertus ,Brisbane Box
412,244519,DPW Maintained,Pittosporum undulatum :: Victorian Box,547 Page St,1.0,Sidewalk: Curb side : Cutout,Private,,13,Width 0ft,37.77308716,-122.4297603,Pittosporum undulatum ,Victorian Box
414,62400,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1080 Chestnut St,1.0,Sidewalk: Curb side : Cutout,Private,10/25/85 0:00,7,,37.80285682,-122.4208902,Metrosideros excelsa ,New Zealand Xmas Tree
418,211747,DPW Maintained,Pittosporum undulatum :: Victorian Box,70 Forest Side Ave,1.0,Sidewalk: Curb side : Cutout,Private,3/6/17 0:00,3,Width 3ft,37.74210344,-122.4683732,Pittosporum undulatum ,Victorian Box
420,202761,DPW Maintained,Lophostemon confertus :: Brisbane Box,89 Long Bridge St,8.0,Sidewalk: Curb side : Cutout,Private,,2,Width 5ft,37.77147152,-122.3938603,Lophostemon confertus ,Brisbane Box
422,238697,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,189 Highland Ave,1.0,Sidewalk: Curb side : Cutout,Private,,12,Width 3ft,37.7373392,-122.4215722,Platanus x hispanica ,Sycamore: London Plane
429,25569,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,50X Industrial St,14.0,Sidewalk: Curb side : Cutout,Private,,0,4X4,37.73993926,-122.4003467,Platanus x hispanica ,Sycamore: London Plane
433,42729,DPW Maintained,Pittosporum undulatum :: Victorian Box,1790 Yosemite Ave,4.0,Sidewalk: Curb side : Cutout,Private,6/26/00 0:00,9,,37.7287859,-122.3949019,Pittosporum undulatum ,Victorian Box
435,133215,DPW Maintained,Pittosporum undulatum :: Victorian Box,601 Davis St,6.0,Sidewalk: Curb side : Cutout,Private,,5,Width 3ft,37.79744995,-122.3985135,Pittosporum undulatum ,Victorian Box
441,228613,DPW Maintained,Lophostemon confertus :: Brisbane Box,658 San Jose Ave,1.0,Sidewalk: Curb side : Cutout,Private,,23,Width 3ft,37.74493426,-122.4224628,Lophostemon confertus ,Brisbane Box
442,9101,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5700 Geary Blvd,2.0,Sidewalk: Curb side : Cutout,Private,,12,3X3,37.7804141,-122.480714,Metrosideros excelsa ,New Zealand Xmas Tree
443,138816,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,727 Grove St,1.0,Sidewalk: Curb side : Yard,Private,,20,Width 0ft,37.77707912,-122.4284862,Platanus x hispanica ,Sycamore: London Plane
447,135145,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1411 The Embarcadero,2.0,Sidewalk: Property side : Yard,Private,,10,,37.80851321,-122.411139,Platanus x hispanica ,Sycamore: London Plane
449,116178,DPW Maintained,Pittosporum undulatum :: Victorian Box,94X Natoma St,2.0,Sidewalk: Curb side : Cutout,Private,,8,2x2,37.78739461,-122.3986281,Pittosporum undulatum ,Victorian Box
453,133393,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3742 Washington St,4.0,Sidewalk: Curb side : Yard,Private,,11,Width 2ft,37.78905835,-122.454828,Platanus x hispanica ,Sycamore: London Plane
456,213143,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,233 Granada Ave,1.0,Sidewalk: Curb side : Cutout,Private,,9,Width 4ft,37.72264483,-122.457244,Metrosideros excelsa ,New Zealand Xmas Tree
458,139311,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1333 GOUGH ST,4.0,Sidewalk: Curb side : Cutout,Private,,14,Width 0ft,37.78585111,-122.4248745,Platanus x hispanica ,Sycamore: London Plane
461,13418,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1 Market St,2.0,Sidewalk: Curb side : Cutout,DPW,,40,4x4,37.7939088,-122.3953659,Platanus x hispanica ,Sycamore: London Plane
462,236163,DPW Maintained,Pittosporum undulatum :: Victorian Box,136 Whitney St,1.0,Sidewalk: Curb side : Cutout,Private,,8,Width 3ft,37.73911068,-122.4276084,Pittosporum undulatum ,Victorian Box
463,134817,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,995 Chestnut St,2.0,Sidewalk: Curb side : Cutout,Private,,10,Width 3ft,37.80288284,-122.4195871,Platanus x hispanica ,Sycamore: London Plane
465,234810,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1613 Market St,1.0,Sidewalk: Curb side : Cutout,Private,,18,Width 4ft,37.77409175,-122.420347,Platanus x hispanica ,Sycamore: London Plane
473,6084,DPW Maintained,Pittosporum undulatum :: Victorian Box,1989 Eddy St,1.0,Sidewalk: Curb side : Cutout,DPW,,12,4X4,37.78033346,-122.440353,Pittosporum undulatum ,Victorian Box
482,132897,DPW Maintained,Pittosporum undulatum :: Victorian Box,2527 Scott St,3.0,Sidewalk: Curb side : Yard,Private,,5,Width 4ft,37.79343676,-122.439897,Pittosporum undulatum ,Victorian Box
491,195119,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,700 Minnesota St,12.0,Sidewalk: Curb side : Cutout,Private,,9,Width 3ft,37.76087654,-122.3906053,Platanus x hispanica ,Sycamore: London Plane
496,213176,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,75 Jules Ave,1.0,Sidewalk: Curb side : Cutout,Private,,8,Width 2ft,37.7195783,-122.4613183,Metrosideros excelsa ,New Zealand Xmas Tree
497,185384,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2300 Sunset Blvd,1.0,Sidewalk: Curb side : Yard,Private,,8,Width 0ft,37.74265566,-122.494309,Metrosideros excelsa ,New Zealand Xmas Tree
499,13438,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2X Market St,6.0,Sidewalk: Curb side : Cutout,DPW,12/12/02 0:00,6,4x4,37.79432565,-122.3952546,Platanus x hispanica ,Sycamore: London Plane
511,236045,DPW Maintained,Pittosporum undulatum :: Victorian Box,87 Sharon St,1.0,Sidewalk: Curb side : Cutout,Private,,13,Width 4ft,37.76458824,-122.4297358,Pittosporum undulatum ,Victorian Box
518,195337,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,55 Steuart St,2.0,Sidewalk: Curb side : Cutout,Private,,7,Width 4ft,37.7940156,-122.3940271,Platanus x hispanica ,Sycamore: London Plane
519,5020,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5320 Diamond Heights Blvd,4.0,Sidewalk: Curb side : Cutout,Private,1/6/92 0:00,3,2X2,37.74301859,-122.4370193,Metrosideros excelsa ,New Zealand Xmas Tree
522,235021,DPW Maintained,Pittosporum undulatum :: Victorian Box,575 Douglass St,2.0,Sidewalk: Curb side : Cutout,Private,,16,Width 3ft,37.7543927,-122.4387246,Pittosporum undulatum ,Victorian Box
527,234944,DPW Maintained,Pittosporum undulatum :: Victorian Box,520 Clipper St,1.0,Sidewalk: Curb side : Cutout,Private,,6,Width 5ft,37.74878491,-122.4366364,Pittosporum undulatum ,Victorian Box
533,5306,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1635 Divisadero St,8.0,Sidewalk: Curb side : Cutout,Private,,10,3X3,37.7844831,-122.4398411,Metrosideros excelsa ,New Zealand Xmas Tree
535,75940,DPW Maintained,Lophostemon confertus :: Brisbane Box,539 Bryant St,3.0,Sidewalk: Curb side : Cutout,Private,,6,,37.78029276,-122.3969876,Lophostemon confertus ,Brisbane Box
536,133296,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2500 Green St,2.0,Sidewalk: Curb side : Cutout,Private,,10,Width 3ft,37.79556754,-122.4404336,Platanus x hispanica ,Sycamore: London Plane
542,133387,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3730 Washington St,1.0,Sidewalk: Curb side : Cutout,Private,,10,Width 4ft,37.78909477,-122.4544923,Platanus x hispanica ,Sycamore: London Plane
549,63559,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3655 Lawton St,1.0,Sidewalk: Curb side : Cutout,Private,4/27/87 0:00,7,,37.75676603,-122.5022953,Metrosideros excelsa ,New Zealand Xmas Tree
555,20175,DPW Maintained,Pittosporum undulatum :: Victorian Box,1200X Steiner St,4.0,Sidewalk: Curb side : Cutout,DPW,1/2/91 0:00,6,3X3,37.7807144,-122.4337918,Pittosporum undulatum ,Victorian Box
